Stone,Carving#,Recurve,Ring,Flat Bottom,Flaired bottom,Rounded edge,Sharp Bottom,Binary Image,Area,Perimeter,Height,Width,Circularity,Aspect Ratio,Roundness,Solidity,Incurve edge,Incurve min,recurve ratio,,,
53,627,,,1,1,1,,,0.003,29.3,8.4,8,0.485,1.397,0.716,0.705,,,,,,
53,623,,,,1,1,,,0.002,21.7,5.5,7.6,0.609,1.218,0.821,0.779,,,,,,
53,625,,,,1,1,1,,0.003,27.4,9.6,6.4,0.469,1.984,0.504,0.73,,,,,,
53,629,,,,1,1,,,0.003,28,9,7.2,0.479,1.663,0.601,0.708,,,,,,
53,631,,,,1,1,,,0.007,43.8,15.4,9.8,0.442,2.429,0.412,0.696,,,,,,
53,632,,,,1,1,,,0.006,37.3,10.2,12.5,0.535,2.064,0.485,0.818,,,,,,
53,620,,,1,,1,,,0.005,29.9,9.4,8.4,0.639,1.23,0.813,0.819,,,,,,
53,624,,,1,,1,,,0.003,27.3,8,8.2,0.514,1.323,0.756,0.715,,,,,,
53,605,,,,,1,,,0.003,28.4,9.2,7.4,0.508,1.572,0.636,0.715,,,,,,
53,612,,,,,1,,,0.003,24.1,7.4,6.8,0.599,1.337,0.748,0.773,,,,,,
53,638,,,,,1,1,,0.004,30.7,9.4,8.6,0.469,1.355,0.738,0.682,,,,,,
53,622,,,1,1,,,,0.002,19.6,5.3,6.1,0.568,1.234,0.811,0.764,,,,,,
53,619,1,,,1,,,,0.005,42.7,13.5,11.3,0.348,1.749,0.572,0.554,94,94,1,,,
53,602,,,,1,,,,0.005,39.9,13.5,9,0.355,2.338,0.428,0.586,,,,,,
53,604,,,,1,,,,0.005,29.2,10.7,6.1,0.68,2.091,0.478,0.923,,,,,,
53,613,,,,1,,,,0.009,54,17.2,13.9,0.379,1.907,0.525,0.622,,,,,,
53,615,,,,1,,,,0.005,40.6,13.5,9.8,0.409,2.346,0.426,0.649,,,,,,
53,621,,,,1,,1,,0.003,26.2,7.8,7.6,0.489,1.542,0.649,0.707,,,,,,
53,634,,,,1,,1,,0.004,33.8,10.5,9.2,0.409,1.527,0.655,0.663,,,,,,
,RiCruin1,,,,1,,,,84.247,47.224,14.889,12.556,0.475,1.748,0.572,0.751,,,,,,
,RiCruin2,,,,1,,,,167.309,64.951,20.667,17.667,0.498,1.651,0.606,0.777,,,,,,
,RiCruin3,,,,1,,,,99.864,53.642,17,13.444,0.436,2.05,0.488,0.711,,,,,,
,RiCruin4,,,,1,,,,86.395,44.407,14.111,11.444,0.551,1.766,0.566,0.82,,,,,,
,RiCruin5,,,,1,,,,111.074,51.788,15.222,14.889,0.52,1.515,0.66,0.787,,,,,,
,RiCruin6,,,,1,,,,107.79,55.175,16.889,15.222,0.445,1.576,0.634,0.708,,,,,,
53,595,1,,1,,,,,0.004,33.6,8.6,10.2,0.43,1.135,0.881,0.66,164,143,1.146853147,,,
53,628,1,,1,,,,,0.004,29.4,8.2,9,0.523,1.32,0.758,0.731,155,143,1.083916084,,,
53,616,1,,1,,,,,0.003,25.1,7.8,6.6,0.621,1.311,0.763,0.812,180,173,1.040462428,,,
53,603,,,1,,,,,0.003,27.9,9,7,0.541,1.812,0.552,0.745,,,,,,
53,608,,,1,,,,,0.003,26,8.2,7.6,0.575,1.396,0.716,0.756,,,,,,
53,610,,,1,,,,,0.01,55.7,19.9,11.7,0.391,2.581,0.387,0.658,,,,,,
53,617,,,1,,,,,0.003,27.3,9,7,0.52,1.53,0.654,0.726,,,,,,
53,636,,,1,,,,,0.004,28.6,8.8,8.2,0.566,1.47,0.68,0.748,,,,,,
53,597,1,,,,,,,0.003,36.3,8.6,10.2,0.332,1.085,0.922,0.571,154,95,1.621052632,,,
53,609,1,1,,,,,,0.004,48.7,13.3,11.7,0.223,1.963,0.509,0.467,102,65,1.569230769,,,
53,607,1,,,,,,,0.005,39.2,10.7,10.5,0.444,1.282,0.78,0.697,139,106,1.311320755,,,
53,596,1,1,,,,,,0.01,59.4,16,15,0.348,1.4,0.714,0.653,118,90,1.311111111,,,
53,614,1,,,,,,,0.004,36.1,10,9.6,0.413,1.127,0.887,0.65,194,156,1.243589744,,,
53,626,1,,,,,,,0.003,35.2,10.9,8.8,0.347,1.713,0.584,0.57,111,93,1.193548387,,,
53,601,1,1,,,,,,0.012,64.3,18,16,0.357,1.366,0.732,0.666,140,119,1.176470588,,,
53,720,1,,,,,,,0.002,24.5,7,7.4,0.476,1.139,0.878,0.678,148,128,1.15625,,,
53,637,1,,,,,1,,0.003,31.7,10.2,8.2,0.401,1.672,0.598,0.619,156,144,1.083333333,,,
53,600,,1,,,,1,,0.004,37.9,14.5,5.7,0.36,3.481,0.287,0.691,,,,,1.296211924,0.1741852639
53,606,,,,,,,,0.007,40.5,13.9,9.4,0.529,2.165,0.462,0.775,,,,,,
53,611,,1,,,,1,,0.009,79.4,30.1,10,0.183,5.372,0.186,0.5,,,,,,
53,618,,1,,,,,,0.004,38.9,12.7,8.6,0.345,2.346,0.426,0.621,,,,,,
53,630,,,,,,,,0.002,17.4,5.3,5.3,0.829,1.081,0.925,0.928,,,,,,